Zip,Countie,Vaccine Equity Metric Quartile,Mr,16+ Population,Persons Fully Vaccinated,Persons Partially Vaccinated,Percent of Population Fully Vaccinated,Percent of Population Partially Vaccinated,Percent of Population with 1+ Dose,Redacted
94605,Alameda,2,Healthy Places Index Score,35261,12748,5346,0.361532569,0.151612267,0.513144851,No
94606,Alameda,2,Healthy Places Index Score,32565,13275,6062,0.407646239,0.186150774,0.593797028,No
94619,Alameda,3,Healthy Places Index Score,19539,9245,3750,0.473156244,0.191923842,0.66508007,No
94579,Alameda,3,Healthy Places Index Score,18363,8342,3514,0.454283059,0.191363066,0.645646155,No
94560,Alameda,3,Healthy Places Index Score,38435,13350,8900,0.34733966,0.231559783,0.578899443,No
94555,Alameda,4,Healthy Places Index Score,29202,10094,8180,0.345661253,0.28011781,0.625779033,No
94706,Alameda,4,Healthy Places Index Score,16273,7792,4248,0.47882995,0.261045903,0.739875853,No
94566,Alameda,4,Healthy Places Index Score,36482,14599,9014,0.400169939,0.247080758,0.647250712,No
94577,Alameda,3,Healthy Places Index Score,39920,16631,7418,0.416608214,0.185821638,0.602429867,No
94542,Alameda,4,Healthy Places Index Score,12645,4707,2270,0.372242004,0.179517597,0.551759601,No
94621,Alameda,1,Healthy Places Index Score,25111,6970,3985,0.277567595,0.1586954,0.436262995,No
96120,Alpine,2,CDPH-Derived ZCTA Score,762,1064,458,1,0.60104984,1.997375369,No
95685,Amador,2,Healthy Places Index Score,3810,4423,6279,1,1,2.80892396,No
95689,Amador,3,CDPH-Derived ZCTA Score,1437,126,47,0.087682672,0.032707028,0.1203897,No
95629,Amador,3,CDPH-Derived ZCTA Score,845,111,40,0.131360948,0.047337279,0.178698227,No
95666,Amador,2,Healthy Places Index Score,4542,404,151,0.088947602,0.033245265,0.122192867,No
95665,Amador,3,Healthy Places Index Score,3777,342,130,0.090548053,0.034418851,0.124966905,No
95669,Amador,3,Healthy Places Index Score,1907,411,142,0.215521768,0.074462503,0.289984256,No
95642,Amador,3,Healthy Places Index Score,6116,2153,1307,0.352027476,0.21370177,0.56572926,No
95601,Amador,3,CDPH-Derived ZCTA Score,114,,,,,,Information redacted in accordance with CA state privacy requirements
95675,Amador,2,CDPH-Derived ZCTA Score,545,42,16,0.077064224,0.029357798,0.106422022,No
95699,Amador,2,CDPH-Derived ZCTA Score,21,,,,,,Information redacted in accordance with CA state privacy requirements
95640,Amador,3,Healthy Places Index Score,10282,1009,253,0.098132662,0.024606109,0.122738764,No
94702,Berkeley,4,Healthy Places Index Score,14073,6551,3484,0.465501308,0.247566268,0.713067591,No
94709,Berkeley,4,Healthy Places Index Score,11039,4055,2342,0.367334008,0.212156892,0.5794909,No
94708,Berkeley,4,Healthy Places Index Score,9523,5446,2680,0.571878612,0.281423926,0.853302538,No
94703,Berkeley,4,Healthy Places Index Score,18413,7453,4102,0.404768378,0.222777382,0.627545774,No
94705,Berkeley,4,Healthy Places Index Score,12012,6364,2928,0.529803514,0.24375625,0.773559749,No
94707,Berkeley,4,Healthy Places Index Score,9947,6384,3070,0.641801536,0.308635771,0.950437307,No
95914,Butte,1,CDPH-Derived ZCTA Score,579,157,67,0.271157175,0.115716755,0.386873931,No
95942,Butte,3,CDPH-Derived ZCTA Score,929,468,156,0.50376749,0.167922497,0.671689987,No
95941,Butte,1,CDPH-Derived ZCTA Score,615,76,33,0.123577237,0.053658538,0.177235767,No
95973,Butte,3,Healthy Places Index Score,29120,10633,4086,0.365144223,0.140315935,0.505460143,No
95965,Butte,1,Healthy Places Index Score,16324,3962,1389,0.242710114,0.085089438,0.327799559,No
95917,Butte,2,Healthy Places Index Score,2857,587,264,0.20546028,0.092404619,0.297864884,No
95916,Butte,1,CDPH-Derived ZCTA Score,1212,188,73,0.155115515,0.060231023,0.21534653,No
95954,Butte,2,Healthy Places Index Score,10682,1881,767,0.176090613,0.071803033,0.247893646,No
95938,Butte,3,Healthy Places Index Score,3472,1229,407,0.35397464,0.117223501,0.471198171,No
95968,Butte,1,CDPH-Derived ZCTA Score,962,419,116,0.435550928,0.120582119,0.556133032,No
95966,Butte,1,Healthy Places Index Score,24532,6899,2032,0.281224519,0.082830586,0.364055097,No
95978,Butte,1,CDPH-Derived ZCTA Score,149,42,23,0.281879187,0.15436241,0.436241597,No
95948,Butte,2,Healthy Places Index Score,8734,2416,1165,0.27662012,0.133386761,0.410006881,No
95974,Butte,1,CDPH-Derived ZCTA Score,31,71,27,1,0.870967746,3.161290407,No
95926,Butte,2,Healthy Places Index Score,33845,10451,4344,0.308790058,0.128349826,0.437139899,No
95928,Butte,2,Healthy Places Index Score,32168,10284,4375,0.319696605,0.136004731,0.455701321,No
95969,Butte,2,Healthy Places Index Score,19616,2136,946,0.108890705,0.048225939,0.157116637,No
95224,Calaveras,3,CDPH-Derived ZCTA Score,142,33,19,0.232394367,0.133802816,0.366197169,No
95228,Calaveras,3,Healthy Places Index Score,3763,268,138,0.071219772,0.036672868,0.10789264,No
95225,Calaveras,2,CDPH-Derived ZCTA Score,303,34,35,0.11221122,0.115511551,0.227722779,No
95245,Calaveras,1,Healthy Places Index Score,1534,119,36,0.077574968,0.023468057,0.101043023,No
95252,Calaveras,2,Healthy Places Index Score,13510,611,474,0.045225758,0.035085123,0.080310881,No
95232,Calaveras,3,CDPH-Derived ZCTA Score,161,,,,,,Information redacted in accordance with CA state privacy requirements
95249,Calaveras,2,Healthy Places Index Score,4299,6407,3235,1,0.752500594,2.242847204,No
95222,Calaveras,2,Healthy Places Index Score,4540,1967,1323,0.433259904,0.291409701,0.724669576,No
95251,Calaveras,2,CDPH-Derived ZCTA Score,619,,,,,,Information redacted in accordance with CA state privacy requirements
95246,Calaveras,1,Healthy Places Index Score,1133,78,38,0.068843774,0.033539277,0.102383055,No
95254,Calaveras,4,CDPH-Derived ZCTA Score,966,56,40,0.057971016,0.041407868,0.099378884,No
95255,Calaveras,1,Healthy Places Index Score,1146,93,52,0.081151836,0.045375217,0.126527056,No
95248,Calaveras,2,CDPH-Derived ZCTA Score,106,28,11,0.264150947,0.103773586,0.367924541,No
95257,Calaveras,1,CDPH-Derived ZCTA Score,354,22,11,0.062146891,0.031073445,0.093220338,No
95223,Calaveras,3,Healthy Places Index Score,2426,408,162,0.168178067,0.066776589,0.234954655,No
95247,Calaveras,1,Healthy Places Index Score,3389,329,178,0.097078785,0.052522868,0.149601653,No
95950,Colusa,1,CDPH-Derived ZCTA Score,234,104,55,0.444444448,0.235042736,0.679487169,No
95932,Colusa,2,Healthy Places Index Score,5924,1623,698,0.273970276,0.117825791,0.391796082,No
95970,Colusa,2,CDPH-Derived ZCTA Score,514,111,49,0.215953305,0.095330738,0.311284035,No
95912,Colusa,2,Healthy Places Index Score,4069,1077,650,0.2646842,0.159744412,0.424428612,No
95979,Colusa,1,CDPH-Derived ZCTA Score,386,91,42,0.235751301,0.108808286,0.34455958,No
95987,Colusa,2,Healthy Places Index Score,4288,1091,633,0.254430979,0.147621274,0.402052253,No
95955,Colusa,2,Healthy Places Index Score,1044,222,123,0.212643683,0.117816091,0.330459774,No
94509,Contra Costa,2,Healthy Places Index Score,52970,15062,9245,0.28434962,0.174532756,0.458882391,No
94582,Contra Costa,4,Healthy Places Index Score,31221,13461,13604,0.431152105,0.435732365,0.86688447,No
94804,Contra Costa,2,Healthy Places Index Score,32374,12316,7415,0.380428731,0.22904183,0.609470546,No
94553,Contra Costa,4,Healthy Places Index Score,41036,17771,9432,0.433058769,0.229846969,0.662905753,No
94563,Contra Costa,4,Healthy Places Index Score,15868,8698,4836,0.548147202,0.304764301,0.852911532,No
94549,Contra Costa,4,Healthy Places Index Score,23410,12437,6921,0.531268716,0.295642883,0.826911569,No
94514,Contra Costa,2,CDPH-Derived ZCTA Score,1164,319,164,0.274054974,0.140893474,0.414948463,No
94565,Contra Costa,2,Healthy Places Index Score,75307,23468,15767,0.311631054,0.209369645,0.521000683,No
94805,Contra Costa,3,Healthy Places Index Score,11940,5273,2746,0.44162479,0.229983255,0.671608031,No
94521,Contra Costa,4,Healthy Places Index Score,35469,15471,8267,0.436183721,0.233076766,0.669260502,No
94525,Contra Costa,4,Healthy Places Index Score,2901,1199,639,0.413305759,0.220268875,0.633574605,No
94595,Contra Costa,4,Healthy Places Index Score,16327,11156,2880,0.683285356,0.176394925,0.859680295,No
94519,Contra Costa,3,Healthy Places Index Score,16069,5995,3551,0.373078585,0.220984504,0.594063103,No
94528,Contra Costa,4,CDPH-Derived ZCTA Score,384,420,209,1,0.544270813,1.638020873,No
94516,Contra Costa,4,CDPH-Derived ZCTA Score,96,115,52,1,0.541666687,1.739583373,No
94564,Contra Costa,4,Healthy Places Index Score,16280,7276,3472,0.44692874,0.213267818,0.660196543,No
94572,Contra Costa,3,Healthy Places Index Score,8366,2949,1507,0.352498204,0.180133879,0.532632053,No
94547,Contra Costa,4,Healthy Places Index Score,21108,10155,4819,0.481097221,0.228302062,0.709399283,No
94531,Contra Costa,4,Healthy Places Index Score,34049,11720,7015,0.34420982,0.206026614,0.550236404,No
94561,Contra Costa,3,Healthy Places Index Score,31622,9974,6002,0.315413326,0.189804569,0.50521791,No
94513,Contra Costa,4,Healthy Places Index Score,49995,19348,10597,0.386998713,0.211961195,0.598959923,No
94597,Contra Costa,4,Healthy Places Index Score,19110,8218,5761,0.430036634,0.301465213,0.731501818,No
94507,Contra Costa,4,Healthy Places Index Score,12207,6837,3453,0.560088456,0.282870471,0.842958987,No
94523,Contra Costa,4,Healthy Places Index Score,29153,13354,7817,0.458066076,0.268137068,0.726203144,No
94598,Contra Costa,4,Healthy Places Index Score,22495,11972,6303,0.532207131,0.280195594,0.812402785,No
94505,Contra Costa,4,Healthy Places Index Score,13154,3677,2114,0.279534757,0.160711572,0.440246314,No
94556,Contra Costa,4,Healthy Places Index Score,13113,6757,3824,0.515290141,0.291619003,0.806909204,No
94803,Contra Costa,4,Healthy Places Index Score,21831,9457,4718,0.433191329,0.2161147,0.649306059,No
94548,Contra Costa,3,CDPH-Derived ZCTA Score,265,179,94,0.675471723,0.354716986,1.03018868,No
94596,Contra Costa,4,Healthy Places Index Score,18659,8679,5689,0.465137482,0.304893076,0.770030558,No
94801,Contra Costa,1,Healthy Places Index Score,23539,7536,5102,0.320149541,0.216746673,0.536896229,No
94511,Contra Costa,2,Healthy Places Index Score,1839,543,259,0.295269161,0.140837416,0.436106592,No
94569,Contra Costa,4,CDPH-Derived ZCTA Score,180,91,48,0.50555557,0.266666681,0.772222221,No
94530,Contra Costa,4,Healthy Places Index Score,21851,11451,6378,0.524049222,0.291885942,0.815935194,No
94520,Contra Costa,2,Healthy Places Index Score,30919,9304,6532,0.300915301,0.21126169,0.512176991,No
94526,Contra Costa,4,Healthy Places Index Score,26471,13302,7744,0.502512157,0.29254657,0.795058727,No
94583,Contra Costa,4,Healthy Places Index Score,27264,12997,10040,0.476709217,0.368251175,0.844960392,No
94517,Contra Costa,4,Healthy Places Index Score,11017,5086,2631,0.461650163,0.238812745,0.700462937,No
94506,Contra Costa,4,Healthy Places Index Score,19361,9271,6343,0.478849232,0.327617377,0.806466579,No
94518,Contra Costa,4,Healthy Places Index Score,23928,9589,5035,0.400743902,0.210422933,0.611166835,No
94806,Contra Costa,2,Healthy Places Index Score,51689,17345,10758,0.335564613,0.208129391,0.543694019,No
95543,Del Norte,1,CDPH-Derived ZCTA Score,630,175,72,0.277777791,0.114285715,0.392063498,No
95567,Del Norte,2,Healthy Places Index Score,1490,353,189,0.236912757,0.126845643,0.363758385,No
95531,Del Norte,1,Healthy Places Index Score,19005,3872,1995,0.203735858,0.104972377,0.308708221,No
95548,Del Norte,1,CDPH-Derived ZCTA Score,1027,267,109,0.25998053,0.10613437,0.366114885,No
95636,El Dorado,2,CDPH-Derived ZCTA Score,1018,150,76,0.147347733,0.074656188,0.222003922,No
95651,El Dorado,4,CDPH-Derived ZCTA Score,534,244,122,0.456928849,0.228464425,0.685393274,No
95667,El Dorado,3,Healthy Places Index Score,31204,9833,3772,0.315119863,0.120881937,0.436001807,No
95684,El Dorado,2,Healthy Places Index Score,2787,573,262,0.205597416,0.094007894,0.29960531,No
96142,El Dorado,3,CDPH-Derived ZCTA Score,664,164,154,0.246987954,0.231927708,0.478915662,No
95709,El Dorado,3,Healthy Places Index Score,4432,1114,549,0.2513538,0.123871841,0.375225633,No
95619,El Dorado,2,Healthy Places Index Score,4514,1296,401,0.287106782,0.088834733,0.375941515,No
95682,El Dorado,3,Healthy Places Index Score,25017,7916,3009,0.316424817,0.120278209,0.436703056,No
95635,El Dorado,2,CDPH-Derived ZCTA Score,977,820,1338,0.83930397,1,2.208802462,No
95614,El Dorado,3,Healthy Places Index Score,3661,1161,356,0.317126483,0.097241193,0.414367646,No
95634,El Dorado,2,Healthy Places Index Score,2971,640,248,0.215415686,0.083473578,0.29888925,No
95720,El Dorado,4,CDPH-Derived ZCTA Score,79,,,,,,Information redacted in accordance with CA state privacy requirements
95726,El Dorado,3,Healthy Places Index Score,7165,1785,1014,0.249127701,0.14152129,0.390648991,No
95633,El Dorado,2,Healthy Places Index Score,3082,712,269,0.231018826,0.087280989,0.3182998,No
95672,El Dorado,4,Healthy Places Index Score,4436,1249,480,0.281559974,0.108205594,0.389765561,No
95735,El Dorado,4,CDPH-Derived ZCTA Score,9,21,15,1,1,4,No
95664,El Dorado,3,CDPH-Derived ZCTA Score,1401,338,141,0.241256252,0.100642398,0.34189865,No
96150,El Dorado,3,Healthy Places Index Score,24911,3964,3152,0.15912649,0.126530454,0.285656929,No
95762,El Dorado,4,Healthy Places Index Score,33299,14636,6409,0.439532727,0.192468241,0.632000983,No
95623,El Dorado,3,Healthy Places Index Score,3268,1015,382,0.310587525,0.116891064,0.427478582,No
93602,Fresno,3,Healthy Places Index Score,2862,857,276,0.29944095,0.096436061,0.395877004,No
93627,Fresno,1,CDPH-Derived ZCTA Score,179,54,47,0.301675975,0.262569845,0.56424582,No
93634,Fresno,2,CDPH-Derived ZCTA Score,22,,,,,,Information redacted in accordance with CA state privacy requirements
93720,Fresno,3,Healthy Places Index Score,37768,14984,7020,0.396737993,0.185871631,0.582609594,No
93725,Fresno,1,Healthy Places Index Score,19089,4744,3149,0.248520091,0.16496411,0.413484216,No
93654,Fresno,1,Healthy Places Index Score,21918,8383,3804,0.382471025,0.173555985,0.556026995,No
93234,Fresno,1,Healthy Places Index Score,4940,1819,668,0.368218631,0.135222673,0.503441274,No
93619,Fresno,4,Healthy Places Index Score,29533,13138,6063,0.444858283,0.205295771,0.650154054,No
93646,Fresno,1,Healthy Places Index Score,7884,2357,1002,0.298959911,0.127092853,0.426052779,No
93621,Fresno,4,CDPH-Derived ZCTA Score,95,113,33,1,0.347368419,1.536842108,No
93640,Fresno,1,Healthy Places Index Score,8835,3062,1270,0.346576124,0.143746465,0.49032259,No
93667,Fresno,3,Healthy Places Index Score,1961,562,152,0.28658849,0.077511474,0.36409995,No
93675,Fresno,1,Healthy Places Index Score,2919,708,275,0.242548823,0.094210349,0.33675915,No
93704,Fresno,1,Healthy Places Index Score,23138,7010,3643,0.302964807,0.157446623,0.460411459,No
93722,Fresno,1,Healthy Places Index Score,62332,17196,10268,0.275877565,0.164730802,0.440608352,No
93657,Fresno,2,Healthy Places Index Score,26538,9942,4106,0.374632597,0.154721528,0.529354155,No
93656,Fresno,1,Healthy Places Index Score,4357,1201,795,0.275648385,0.182465002,0.458113372,No
93660,Fresno,1,Healthy Places Index Score,2759,987,620,0.357738316,0.224719107,0.582457423,No
93706,Fresno,1,Healthy Places Index Score,28692,6172,4061,0.215112224,0.141537711,0.356649935,No
93624,Fresno,1,CDPH-Derived ZCTA Score,641,197,133,0.307332307,0.207488298,0.514820576,No
93611,Fresno,3,Healthy Places Index Score,36996,13000,6472,0.351389349,0.174937829,0.526327193,No
93721,Fresno,1,Healthy Places Index Score,6821,1205,731,0.176660314,0.10716904,0.283829361,No
93701,Fresno,1,Healthy Places Index Score,7075,1273,1052,0.179929331,0.148692578,0.328621894,No
93626,Fresno,3,CDPH-Derived ZCTA Score,1816,502,235,0.27643171,0.12940529,0.405836999,No
93605,Fresno,4,CDPH-Derived ZCTA Score,118,54,15,0.457627118,0.127118647,0.584745765,No
93609,Fresno,1,Healthy Places Index Score,4000,1072,725,0.268000007,0.181250006,0.449250013,No
93703,Fresno,1,Healthy Places Index Score,23585,4940,3627,0.209455162,0.153784186,0.363239348,No
93710,Fresno,2,Healthy Places Index Score,27127,6408,3496,0.236222208,0.128875285,0.365097493,No
93650,Fresno,1,Healthy Places Index Score,2450,710,473,0.289795905,0.193061218,0.482857138,No
93727,Fresno,1,Healthy Places Index Score,60737,16416,10173,0.270280063,0.167492628,0.437772691,No
93630,Fresno,1,Healthy Places Index Score,14538,4752,2659,0.326867521,0.182899982,0.509767532,No
93662,Fresno,1,Healthy Places Index Score,22452,7905,3597,0.352084458,0.160208449,0.512292862,No
93616,Fresno,1,Healthy Places Index Score,1861,636,256,0.341751754,0.137560457,0.479312211,No
93728,Fresno,1,Healthy Places Index Score,12619,3013,1844,0.238766938,0.146128848,0.384895802,No
93608,Fresno,1,CDPH-Derived ZCTA Score,964,286,147,0.29668051,0.152489632,0.449170113,No
93711,Fresno,3,Healthy Places Index Score,31986,12400,5221,0.387669593,0.163227662,0.550897241,No
93606,Fresno,1,CDPH-Derived ZCTA Score,747,314,166,0.420348048,0.222222224,0.642570257,No
93242,Fresno,1,Healthy Places Index Score,2492,627,254,0.251605123,0.101926163,0.353531301,No
93648,Fresno,1,Healthy Places Index Score,11271,3776,1370,0.335019082,0.12155088,0.45656997,No
93726,Fresno,1,Healthy Places Index Score,31283,6904,4707,0.220694944,0.150465116,0.37116006,No
93664,Fresno,4,CDPH-Derived ZCTA Score,359,194,56,0.540389955,0.155988857,0.696378827,No
93730,Fresno,4,Healthy Places Index Score,9666,4463,1879,0.46172151,0.194392711,0.656114221,No
93625,Fresno,1,Healthy Places Index Score,6044,2354,1061,0.389477164,0.17554599,0.565023184,No
93210,Fresno,1,Healthy Places Index Score,14352,2933,1479,0.204361767,0.103051841,0.307413608,No
93628,Fresno,3,CDPH-Derived ZCTA Score,83,60,16,0.722891569,0.192771077,0.915662646,No
93702,Fresno,1,Healthy Places Index Score,31401,6412,5204,0.204197317,0.165727213,0.369924515,No
93652,Fresno,1,CDPH-Derived ZCTA Score,445,101,61,0.226966292,0.137078658,0.364044935,No
93631,Fresno,2,Healthy Places Index Score,12261,4406,1783,0.359350801,0.145420432,0.504771233,No
93622,Fresno,1,Healthy Places Index Score,7573,1867,1555,0.246533737,0.205334738,0.451868474,No
93668,Fresno,1,CDPH-Derived ZCTA Score,849,267,153,0.314487636,0.180212021,0.494699657,No
93651,Fresno,3,Healthy Places Index Score,1468,439,156,0.299046308,0.106267028,0.405313343,No
93705,Fresno,1,Healthy Places Index Score,27061,6321,4053,0.233583391,0.149772733,0.383356124,No
93641,Fresno,1,CDPH-Derived ZCTA Score,223,92,27,0.412556052,0.121076234,0.533632278,No
93612,Fresno,1,Healthy Places Index Score,26746,7292,4156,0.272638887,0.155387715,0.428026617,No
93723,Fresno,2,Healthy Places Index Score,10323,2939,1585,0.284704059,0.153540641,0.4382447,No
95988,Glenn,2,Healthy Places Index Score,6423,1906,554,0.296746075,0.086252533,0.382998586,No
95963,Glenn,1,Healthy Places Index Score,11845,3322,1447,0.280455887,0.122161247,0.402617127,No
95939,Glenn,1,CDPH-Derived ZCTA Score,494,90,12,0.182186231,0.024291499,0.206477731,No
95951,Glenn,2,Healthy Places Index Score,1892,604,301,0.319238901,0.159090906,0.478329808,No
95920,Glenn,1,CDPH-Derived ZCTA Score,264,54,18,0.204545453,0.06818182,0.272727281,No
95943,Glenn,2,CDPH-Derived ZCTA Score,704,201,54,0.285511374,0.076704547,0.362215906,No
95519,Humboldt,3,Healthy Places Index Score,15721,4850,3295,0.308504552,0.209592268,0.518096805,No
95540,Humboldt,2,Healthy Places Index Score,11124,3039,1976,0.273193091,0.177633941,0.450827032,No
95549,Humboldt,3,CDPH-Derived ZCTA Score,753,223,140,0.296148747,0.18592298,0.482071728,No
95526,Humboldt,2,CDPH-Derived ZCTA Score,186,53,34,0.284946233,0.182795703,0.467741936,No
95559,Humboldt,1,CDPH-Derived ZCTA Score,70,42,17,0.600000024,0.242857143,0.842857122,No
95521,Humboldt,2,Healthy Places Index Score,18778,4946,4139,0.263393342,0.220417514,0.483810842,No
95547,Humboldt,3,CDPH-Derived ZCTA Score,903,280,176,0.310077518,0.194905862,0.504983366,No
95555,Humboldt,1,CDPH-Derived ZCTA Score,363,73,50,0.201101929,0.137741044,0.338842988,No
95553,Humboldt,1,CDPH-Derived ZCTA Score,681,181,96,0.265785605,0.140969157,0.406754762,No
95570,Humboldt,3,Healthy Places Index Score,1970,813,472,0.412690341,0.239593908,0.652284265,No
95545,Humboldt,1,CDPH-Derived ZCTA Score,118,27,16,0.228813559,0.135593221,0.364406794,No
95501,Humboldt,2,Healthy Places Index Score,19796,5548,4353,0.280258626,0.219892904,0.500151575,No
95536,Humboldt,2,Healthy Places Index Score,2311,818,431,0.353959322,0.186499357,0.540458679,No
95528,Humboldt,2,CDPH-Derived ZCTA Score,1109,165,120,0.148782685,0.108205594,0.256988287,No
95511,Humboldt,1,CDPH-Derived ZCTA Score,232,27,19,0.116379313,0.081896551,0.198275864,No
95556,Humboldt,1,CDPH-Derived ZCTA Score,403,35,33,0.086848639,0.081885859,0.168734491,No
95560,Humboldt,2,Healthy Places Index Score,1425,578,231,0.405614048,0.162105262,0.567719281,No
95554,Humboldt,1,CDPH-Derived ZCTA Score,452,78,44,0.172566369,0.097345136,0.269911498,No
95550,Humboldt,2,CDPH-Derived ZCTA Score,94,34,23,0.361702114,0.244680852,0.606382966,No
95503,Humboldt,2,Healthy Places Index Score,21044,6212,4135,0.29519102,0.196493059,0.491684079,No
95569,Humboldt,2,CDPH-Derived ZCTA Score,371,41,26,0.11051213,0.070080861,0.180592999,No
95589,Humboldt,2,Healthy Places Index Score,913,328,141,0.359255195,0.154435933,0.513691127,No
95546,Humboldt,1,Healthy Places Index Score,2488,192,71,0.077170417,0.028536977,0.105707392,No
95564,Humboldt,2,CDPH-Derived ZCTA Score,368,82,57,0.222826093,0.154891297,0.377717406,No
95514,Humboldt,2,CDPH-Derived ZCTA Score,105,23,20,0.219047621,0.190476194,0.409523815,No
95524,Humboldt,3,Healthy Places Index Score,1489,644,448,0.432505041,0.300873071,0.733378112,No
95558,Humboldt,2,CDPH-Derived ZCTA Score,351,101,84,0.28774929,0.23931624,0.527065516,No
95573,Humboldt,1,Healthy Places Index Score,1192,290,189,0.243288592,0.158557042,0.401845634,No
95565,Humboldt,1,CDPH-Derived ZCTA Score,622,128,94,0.205787778,0.151125401,0.356913179,No
95571,Humboldt,1,CDPH-Derived ZCTA Score,277,66,16,0.238267154,0.057761732,0.296028882,No
95525,Humboldt,3,Healthy Places Index Score,1281,538,360,0.4199844,0.281030446,0.701014817,No
95542,Humboldt,1,Healthy Places Index Score,1674,550,206,0.328554362,0.123058543,0.45161289,No
95537,Humboldt,4,CDPH-Derived ZCTA Score,251,72,58,0.286852598,0.231075704,0.517928302,No
95551,Humboldt,2,Healthy Places Index Score,1159,377,244,0.325280428,0.210526317,0.535806715,No
95562,Humboldt,2,Healthy Places Index Score,2459,467,383,0.189914599,0.155754372,0.345668972,No
92251,Imperial,3,Healthy Places Index Score,18384,4680,2970,0.254569203,0.161553532,0.416122705,No
92249,Imperial,1,Healthy Places Index Score,5763,1496,1042,0.25958702,0.180808604,0.440395623,No
92250,Imperial,1,Healthy Places Index Score,6355,1750,1104,0.275373727,0.173721477,0.44909519,No
92266,Imperial,1,CDPH-Derived ZCTA Score,112,40,15,0.357142866,0.133928567,0.491071433,No
92231,Imperial,1,Healthy Places Index Score,29581,11097,8362,0.375139445,0.282681465,0.65782088,No
92227,Imperial,1,Healthy Places Index Score,18988,5594,3294,0.294607133,0.173477992,0.46808511,No
92283,Imperial,1,Healthy Places Index Score,1208,123,71,0.101821192,0.058774833,0.160596028,No
92275,Imperial,1,Healthy Places Index Score,2054,214,117,0.104186952,0.056962024,0.16114898,No
92259,Imperial,1,CDPH-Derived ZCTA Score,116,48,24,0.413793117,0.206896558,0.620689631,No
92233,Imperial,1,CDPH-Derived ZCTA Score,6375,698,520,0.109490193,0.081568629,0.191058829,No
92243,Imperial,1,Healthy Places Index Score,37455,10607,7133,0.283193171,0.190441862,0.473635018,No
92273,Imperial,1,Healthy Places Index Score,1538,305,257,0.198309496,0.167100132,0.365409613,No
